Chr01	514921	122872797	1
Chr01	146158269	180953511	1
Chr01	181868865	222519877	1
Chr01	221941878	244771595	1
Chr01	244976779	300659700	1
Chr10	630664	12104682	1
Chr10	13155838	19644470	1
Chr10	22125675	29626674	1
Chr10	29874899	38918516	1
Chr10	52419636	84624591	1
Chr10	84601455	90818568	1
Chr10	91679482	96338625	2
Chr10	99364965	101521474	2
Chr10	106789338	150093033	2
Chr02	606003	26442634	1
Chr02	26607746	75651760	1
Chr02	82246617	86916272	1
Chr02	103961867	114891023	1
Chr02	128181600	153621420	2
Chr02	156282075	157785941	2
Chr02	157751470	161349836	2
Chr02	162962185	218592039	2
Chr02	221313959	231352342	2
Chr02	231908216	237035824	2
Chr03	1260878	69560568	1
Chr03	86901385	95272527	2
Chr03	96010237	99727880	2
Chr03	113347325	135697231	2
Chr03	135852090	143181328	2
Chr03	143696160	228720628	1
Chr03	229083960	231720936	2
Chr04	30478	9759711	1
Chr04	9851598	14633105	1
Chr04	14678018	15946757	1
Chr04	17332423	23791322	1
Chr04	25991881	40390826	2
Chr04	40690991	47723852	2
Chr04	47887369	64778858	2
Chr04	67493040	85297055	2
Chr04	94432879	148982161	2
Chr04	146286660	164264421	2
Chr04	165623036	167481588	2
Chr04	168085162	179711318	2
Chr04	179786984	182788003	2
Chr04	183033073	190614887	1
Chr04	190682513	192816924	1
Chr04	193147061	195196728	2
Chr04	196926063	200034491	2
Chr04	200525506	203020072	1
Chr04	204125553	209651366	1
Chr04	209253301	211298302	1
Chr04	212161867	215106042	1
Chr04	215103603	217443592	2
Chr04	218666907	241274833	2
Chr05	81252	37234064	2
Chr05	40602143	43417796	1
Chr05	43417796	47582423	2
Chr05	47582423	65940803	1
Chr05	66022065	102448097	1
Chr05	110010532	126392787	1
Chr05	127936157	157526170	1
Chr05	158811625	208900887	1
Chr05	208925180	217680842	1
Chr06	122142	9611125	1
Chr06	23524562	46357199	1
Chr06	54213395	81090507	2
Chr06	81434868	106764114	2
Chr06	106804374	121697796	2
Chr06	123376126	168920668	1
Chr07	273095	54632680	1
Chr07	75898061	174869378	1
Chr07	174995238	176550924	1
Chr08	17892	29878110	2
Chr08	32571188	47254827	2
Chr08	54419675	63418510	2
Chr08	63418510	79189073	2
Chr08	79939769	82495781	2
Chr08	85845074	94578575	2
Chr08	95573013	108055141	2
Chr08	108358664	113180080	2
Chr08	113632995	115305096	2
Chr08	116022254	125424219	2
Chr08	125902353	135460477	2
Chr08	135715734	156258557	2
Chr08	156439290	175734164	2
Chr09	311374	30121113	1
Chr09	30197800	49020670	1
Chr09	55346989	71000738	1
Chr09	73244827	111603148	1
Chr09	111981488	118383504	2
Chr09	118436571	155578735	2
